,L,nh,x->y,y->x
0,1,2,-2.5298995971679688,-2.527930498123169
1,1,4,-2.6283843517303467,-2.6283514499664307
2,1,5,-2.983086585998535,-2.9891791343688965
3,1,8,-2.871952772140503,-2.8725221157073975
4,1,10,-2.2308714389801025,-2.2351691722869873
5,2,2,-2.573974132537842,-2.5771288871765137
6,2,4,-1.8002336025238037,-1.7919872999191284
7,2,5,-2.5830557346343994,-2.601141929626465
8,2,8,-1.9798117876052856,-2.0052249431610107
9,2,10,-1.9667205810546875,-1.960157871246338
10,3,2,-2.008708953857422,-2.0146889686584473
11,3,4,-1.360082983970642,-1.3750427961349487
12,3,5,-2.1168134212493896,-2.1466434001922607
13,3,8,-1.9648418426513672,-1.9850001335144043
14,3,10,-1.8402327299118042,-1.8298617601394653
