,L,nh,x->y,y->x
0,1,2,-2.40112566947937,-2.506338119506836
1,1,4,-3.626296043395996,-3.4925460815429688
2,1,5,-3.813950300216675,-3.871081590652466
3,1,8,-4.194333553314209,-4.311667442321777
4,1,10,-3.329758405685425,-3.551922082901001
5,2,2,-3.8184986114501953,-3.8080837726593018
6,2,4,-4.172948837280273,-3.6781821250915527
7,2,5,-4.242859363555908,-4.086137771606445
8,2,8,-4.427287578582764,-4.693528175354004
9,2,10,-4.240349292755127,-4.467499256134033
10,3,2,-4.124953746795654,-3.9353508949279785
11,3,4,-4.531871795654297,-4.249625205993652
12,3,5,-4.84559440612793,-4.802964687347412
13,3,8,-4.089665412902832,-4.633065223693848
14,3,10,-4.738334655761719,-4.928308010101318
