,L,nh,x->y,y->x
0,1,2,-3.231566905975342,-3.211996078491211
1,1,4,-3.326321601867676,-3.4622435569763184
2,1,5,-3.9931039810180664,-3.9381797313690186
3,1,8,-4.413997650146484,-4.383947372436523
4,1,10,-4.1479387283325195,-4.133025646209717
5,2,2,-3.997492790222168,-4.111753940582275
6,2,4,-3.7582507133483887,-4.045280933380127
7,2,5,-4.3281331062316895,-4.385115623474121
8,2,8,-5.041070938110352,-4.98900032043457
9,2,10,-4.983238220214844,-4.976490497589111
10,3,2,-3.9548819065093994,-4.129981994628906
11,3,4,-4.297947883605957,-4.470218181610107
12,3,5,-5.030513763427734,-5.0437235832214355
13,3,8,-5.169361114501953,-5.111045837402344
14,3,10,-5.428410053253174,-5.4314188957214355
