,L,nh,x->y,y->x
0,1,10,-2.646226406097412,-2.8077445030212402
1,1,18,-4.135128974914551,-3.7846877574920654
2,1,24,-1.4859944581985474,-3.6849255561828613
3,2,10,-4.170060157775879,-4.214749336242676
4,2,18,-3.0855579376220703,-2.7242484092712402
5,2,24,-2.690993309020996,-2.495758295059204
6,3,10,-6.8661298751831055,-6.39040470123291
7,3,18,-3.3765721321105957,-3.195800542831421
8,3,24,-3.1284596920013428,-5.524538516998291
