,L,nh,x->y,y->x
0,1,2,-2.5680549144744873,-2.570096015930176
1,1,4,-2.4633889198303223,-2.4819891452789307
2,1,5,-3.3135225772857666,-3.306617259979248
3,1,8,-3.5699169635772705,-3.562509298324585
4,1,10,-3.207165241241455,-3.1876304149627686
5,2,2,-3.193406581878662,-3.208735942840576
6,2,4,-2.0598795413970947,-2.111865758895874
7,2,5,-3.2985408306121826,-3.3072099685668945
8,2,8,-3.771754264831543,-3.742810010910034
9,2,10,-3.7761070728302,-3.749433755874634
10,3,2,-2.7845208644866943,-2.8112542629241943
11,3,4,-2.7585935592651367,-2.7611000537872314
12,3,5,-3.8388397693634033,-3.839820384979248
13,3,8,-3.6350624561309814,-3.604457378387451
14,3,10,-4.018813133239746,-3.990929365158081
