,L,nh,x->y,y->x
0,1,10,-4.074379920959473,-4.01859712600708
1,1,18,-3.4025282859802246,-3.3589673042297363
2,1,24,-4.834345817565918,-4.96388053894043
3,2,10,-4.993876934051514,-4.983237266540527
4,2,18,-3.4621939659118652,-3.4413459300994873
5,2,24,-4.968273639678955,-5.003122806549072
6,3,10,-5.485895156860352,-5.500237464904785
7,3,18,-3.9110350608825684,-3.9373810291290283
8,3,24,-6.939366340637207,-7.187275409698486
