,L,nh,x->y,y->x
0,1,2,-3.2901344299316406,-3.2482619285583496
1,1,4,-3.4400625228881836,-3.554469347000122
2,1,5,-4.212022304534912,-4.205411911010742
3,1,8,-5.316867351531982,-4.775877952575684
4,1,10,-3.9263699054718018,-3.818798303604126
5,2,2,-3.9038338661193848,-3.92541241645813
6,2,4,-3.6843366622924805,-3.9433510303497314
7,2,5,-4.4877519607543945,-4.6539225578308105
8,2,8,-5.534101963043213,-5.321521282196045
9,2,10,-4.6165690422058105,-4.5674147605896
10,3,2,-3.8630614280700684,-3.998816728591919
11,3,4,-4.526382923126221,-4.554189205169678
12,3,5,-5.112621307373047,-5.19352912902832
13,3,8,-6.057915210723877,-5.584451675415039
14,3,10,-5.0532050132751465,-5.004611492156982
