,L,nh,x->y,y->x
0,1,10,-3.0914194583892822,-3.105750322341919
1,1,18,-2.7650105953216553,-2.677487850189209
2,1,24,-2.65566349029541,-2.949754476547241
3,2,10,-3.6429331302642822,-3.6448965072631836
4,2,18,-2.6538095474243164,-2.6093387603759766
5,2,24,-2.544339656829834,-2.861436128616333
6,3,10,-3.5511434078216553,-3.583130359649658
7,3,18,-2.4833695888519287,-2.5399041175842285
8,3,24,-2.66988468170166,-3.011425495147705
