,L,nh,x->y,y->x
0,1,2,-2.818420171737671,-2.962657928466797
1,1,4,-3.3752365112304688,-3.268528461456299
2,1,5,-3.7965641021728516,-3.9076638221740723
3,1,8,-4.170307159423828,-4.313623905181885
4,1,10,-3.8949387073516846,-4.014037132263184
5,2,2,-3.9294142723083496,-3.949493408203125
6,2,4,-3.8547370433807373,-3.5046463012695312
7,2,5,-4.273582458496094,-4.188648223876953
8,2,8,-4.684041500091553,-4.859376430511475
9,2,10,-4.743908405303955,-4.848409652709961
10,3,2,-3.960705041885376,-3.9377365112304688
11,3,4,-4.326754093170166,-4.1472907066345215
12,3,5,-4.886535167694092,-4.857335090637207
13,3,8,-4.621198654174805,-4.895146369934082
14,3,10,-5.187167644500732,-5.276155948638916
