,L,nh,x->y,y->x
0,1,2,-3.44510555267334,-3.4615278244018555
1,1,4,-3.2359158992767334,-3.288388729095459
2,1,5,-4.246493816375732,-4.260869979858398
3,1,8,-4.419650077819824,-4.4504899978637695
4,1,10,-3.847832202911377,-3.8137593269348145
5,2,2,-3.9562342166900635,-3.9633195400238037
6,2,4,-3.6695148944854736,-3.8013756275177
7,2,5,-4.684908866882324,-4.732306003570557
8,2,8,-5.102155685424805,-5.1344499588012695
9,2,10,-4.70048189163208,-4.666631698608398
10,3,2,-3.9917073249816895,-4.012432098388672
11,3,4,-4.722875118255615,-4.7671589851379395
12,3,5,-5.3920578956604,-5.393006324768066
13,3,8,-5.259995460510254,-5.27443790435791
14,3,10,-5.181915760040283,-5.142518520355225
