,L,nh,x->y,y->x
0,1,2,-2.9743707180023193,-3.0423808097839355
1,1,4,-3.3912153244018555,-3.3379812240600586
2,1,5,-3.8060197830200195,-3.8762757778167725
3,1,8,-4.222977161407471,-4.276541709899902
4,1,10,-3.8108952045440674,-3.864832639694214
5,2,2,-3.8030240535736084,-3.793170690536499
6,2,4,-3.799436092376709,-3.627936840057373
7,2,5,-4.021727085113525,-3.923408031463623
8,2,8,-4.686054229736328,-4.772151947021484
9,2,10,-4.664382457733154,-4.716982841491699
10,3,2,-3.717215061187744,-3.641191005706787
11,3,4,-3.995023727416992,-3.915736675262451
12,3,5,-4.650909900665283,-4.639373779296875
13,3,8,-4.581554889678955,-4.712824821472168
14,3,10,-5.034689426422119,-5.081457614898682
