,L,nh,x->y,y->x
0,1,2,-2.929033041000366,-3.005037546157837
1,1,4,-3.5068483352661133,-3.2154579162597656
2,1,5,-4.005134105682373,-3.925952434539795
3,1,8,-4.567287445068359,-4.217286109924316
4,1,10,-3.8133034706115723,-4.185223579406738
5,2,2,-4.19398307800293,-3.9067766666412354
6,2,4,-4.355624198913574,-3.4182586669921875
7,2,5,-4.7804741859436035,-4.190013408660889
8,2,8,-5.175735950469971,-4.790761947631836
9,2,10,-4.822305679321289,-5.0538249015808105
10,3,2,-4.610307693481445,-3.788841724395752
11,3,4,-4.67110013961792,-4.36719274520874
12,3,5,-5.363659381866455,-4.991634368896484
13,3,8,-5.1264448165893555,-5.056138038635254
14,3,10,-5.360075950622559,-5.516520023345947
